"","x"
"1","ref.date"
"2","ABG.JO"
"3","AFE.JO"
"4","AGL.JO"
"5","AMS.JO"
"6","ANG.JO"
"7","APN.JO"
"8","ARI.JO"
"9","AVI.JO"
"10","BAW.JO"
"11","BHP.JO"
"12","BTI.JO"
"13","BVT.JO"
"14","CCO.JO"
"15","CFR.JO"
"16","CLS.JO"
"17","CML.JO"
"18","CPI.JO"
"19","DSY.JO"
"20","EXX.JO"
"21","FFA.JO"
"22","FSR.JO"
"23","GFI.JO"
"24","GLD.JO"
"25","GRT.JO"
"26","HAR.JO"
"27","IMP.JO"
"28","INL.JO"
"29","INP.JO"
"30","IPL.JO"
"31","ITE.JO"
"32","KIO.JO"
"33","LBH.JO"
"34","LHC.JO"
"35","MNP.JO"
"36","MRP.JO"
"37","MSM.JO"
"38","MTM.JO"
"39","MTN.JO"
"40","NED.JO"
"41","NPN.JO"
"42","NRP.JO"
"43","NTC.JO"
"44","PIK.JO"
"45","PSG.JO"
"46","RCL.JO"
"47","RDF.JO"
"48","REM.JO"
"49","RES.JO"
"50","RMI.JO"
"51","SAP.JO"
"52","SBK.JO"
"53","SHP.JO"
"54","SLM.JO"
"55","SNT.JO"
"56","SOL.JO"
"57","SPG.JO"
"58","SPP.JO"
"59","SYGWD.JO"
"60","TBS.JO"
"61","TFG.JO"
"62","TKG.JO"
"63","TRU.JO"
"64","TSG.JO"
"65","VKE.JO"
"66","VOD.JO"
"67","WHL.JO"
